manufacturer,manufacturer_url,robots
Boston Dynamics,bostondynamics.com,"SPOT, Atlas, Stretch"
Dusty Robotics,dustyrobotics.com,FieldPrinter
Built Robotics,builtrobotics.com,"Exosystem, RPD 35, RPS 25"
Canvas Construction,canvas.build,1200CX
Hilti,hilti.com,"Jaibot, EXO-01"
Trimble,trimble.com,"X7 Scanner, RTS Series, Earthworks Autonomous Compactor"
Sarcos,sarcos.com,"Guardian XO, Guardian XT"
ANYbotics,anybotics.com,ANYmal
ULC Robotics,ulcrobotics.com,CISBOT
Advanced Construction Robotics,construction-robotics.com,"TyBOT, IronBOT, SAM100"
Toggle,toggle.is,Toggle Rebar System
Caterpillar,caterpillar.com,"Cat Command, Cat 299D3 Semi-Autonomous CTL, Cat 775 Autonomous Hauling"
Komatsu,komatsu.com,"PC210LCi-11, D51i-24, D61i-24"
Develon,develon-ce.com,"Concept-X2, Real X Platform"
Volvo CE,volvoce.com,"CX01 Concept, TA15 Autonomous Hauler"
Honda,honda.com,AWV Gen 3
HD Hyundai Construction Equipment,hd-ce.com,Future-X
Teleo,teleo.ai,Supervised Autonomy
Lumina,lumina-autonomous.com,MoonLander
SafeAI,safe.ai,SafeAI Autonomous Kit
Polymath Robotics,polymathrobotics.com,Autonomous Dozing Solution
ASI Autonomous Solutions,asirobots.com,Mobius for Construction
Shantui,shantui.com,DH17C2U
Kawasaki Heavy Industries,khi.co.jp,Autonomous Excavation System
XCMG,xcmg.com,SAP200C-10 Autonomous Paver
Sany,sanygroup.com,Autonomous Paving Fleet
BOMAG,bomag.com,ROBOMAG
HAMM,hamm.eu,Autonomous Roller Concept
Hitachi Construction Machinery,hitachicm.com,ZCORE Autonomous Compaction
The Boring Company,boringcompany.com,Prufrock-5
Gamuda GET,gamudaget.com,A-TBM
Petra,petra.technology,Swifty
FBR Fastbrick Robotics,fbr.com.au,"Hadrian X, Hadrian X Next-Gen"
Monumental,monumental.co,Monumental Swarm
Construction Robotics,construction-robotics.com,"SAM100, MULE"
Green.Build,green-build.tech,WLTR Masonry Robot
COBOD,cobod.com,"BOD2, BOD3"
ICON,iconbuild.com,"Vulcan, Titan, BuildOS"
Apis Cor,apis-cor.com,"Frank, Gary, Mary"
CyBe Construction,cybe.eu,"CyBe RC, CyBe R Line, CyBe G Line"
LUYTEN,luyten3d.com,"PLATYPUS X2, PLATYPUS X4, PLATYPUS X12"
HP SitePrint,hp.com,SitePrint
nLink,nlink.no,"nLink Drilling Robot, Robulift"
Civ Robotics,civrobotics.com,"CivDot, CivDot+"
Husqvarna,husqvarnacp.com,"DXR 140, DXR 300"
Brokk,brokk.com,SmartPower+ Series
Conjet,conjet.com,7-Series ACR Robots
DJI,dji.com,"Mavic 3 Enterprise, Matrice 400, Zenmuse L2"
Skydio,skydio.com,"X10, X2D, X2E, Skydio Dock"
Wingtra,wingtra.com,WingtraOne Gen II
Flyability,flyability.com,Elios 3
Ekso Bionics,eksobionics.com,Ekso EVO
Ottobock,ottobock.com,"Paexo Series, EXO-01"
German Bionic,germanbionic.com,Cray X
Levitate Technologies,levitatetech.com,AIRFRAME
Hyundai Robotics,hyundai.com,"VEX, CEX, H-WEX"
Innophys,innophys.jp,"MUSCLE SUIT Every, GS-BACK"
